team_1,team_2,draw_betfair_odds,team_1_betfair_odds,team_2_betfair_odds,date
Russia , Saudi Arabia,4.6,1.47,10,2018-06-14
Morocco , Iran,3.05,2.38,4,2018-06-15
Egypt , Uruguay,3.8,7.8,1.65,2018-06-15
Portugal , Spain,3.5,4.8,1.99,2018-06-15
Argentina , Iceland,5.3,1.35,15,2018-06-16
Peru , Denmark,3.35,3.3,2.48,2018-06-16
France , Australia,7,1.27,14.5,2018-06-16
Croatia , Nigeria,3.8,1.75,6.2,2018-06-16
Costa Rica , Serbia,3.45,4.7,1.95,2018-06-17
Germany , Mexico,4.4,1.54,8.2,2018-06-17
Brazil , Switzerland,4.9,1.45,9.4,2018-06-17
Sweden , South Korea,3.35,2.14,4.3,2018-06-18
Belgium , Panama,8,1.2,24,2018-06-18
Tunisia , England,4.8,11,1.43,2018-06-18
Colombia , Japan,3.75,1.71,6.2,2018-06-19
Poland , Senegal,3.35,2.4,3.65,2018-06-19
Russia , Egypt,3.35,2.22,4.2,2018-06-19
Portugal , Morocco,3.7,1.7,7.6,2018-06-20
Uruguay , Saudi Arabia,7.2,1.25,20,2018-06-20
Iran , Spain,7.4,19.5,1.23,2018-06-20
France , Peru,4.8,1.47,7.8,2018-06-21
Denmark , Australia,3.7,1.75,6.8,2018-06-21
Argentina , Croatia,3.3,1.98,4.4,2018-06-21
Brazil , Costa Rica,7.2,1.23,19.5,2018-06-22
Nigeria , Iceland,3.3,2.7,3.1,2018-06-22
Serbia , Switzerland,3.25,3.1,2.7,2018-06-22
South Korea , Mexico,3.35,5.1,1.98,2018-06-23
Germany , Sweden,4.8,1.48,9.8,2018-06-23
Belgium , Tunisia,5.3,1.35,11,2018-06-23
Japan , Senegal,3.3,3.4,2.3,2018-06-24
England , Panama,7.6,1.23,18.5,2018-06-24
Poland , Colombia,3.5,3.45,2.46,2018-06-24
Saudi Arabia , Egypt,3.45,4.6,1.75,2018-06-25
Uruguay , Russia,3.1,2.38,3.5,2018-06-25
Iran , Portugal,4.5,9.6,1.38,2018-06-25
Spain , Morocco,4.5,1.44,9.2,2018-06-25
Denmark , France,3.65,6,1.74,2018-06-26
Nigeria , Argentina,5,8.4,1.46,2018-06-26
Iceland , Croatia,3.5,5.2,1.85,2018-06-26
Australia , Peru,3.25,4.3,2.18,2018-06-26
Serbia , Brazil,4.5,9,1.49,2018-06-27
South Korea , Germany,5.3,10,1.33,2018-06-27
Mexico , Sweden,3.2,2.46,3.45,2018-06-27
Switzerland , Costa Rica,3.4,1.94,4.4,2018-06-27
England , Belgium,3.35,3.2,2.56,2018-06-28
Panama , Tunisia,3.4,3.45,2.4,2018-06-28
Japan , Poland,3.45,4.6,2.02,2018-06-28
Senegal , Colombia,3.3,4,2.12,2018-06-28
